"commit id","commit date","commit message"
"9cf2938a67256c9768992f25e87b83119dd55ce9","2013-12-24 11:28:13-08:00","Added tag 1.35 for changeset a7d12438696e
"
"dc28912d51ecd5a46a2efab8af9f4531376cb929","2013-12-24 12:33:09-08:00","Added tag 1.37 for changeset 9b44f81a5151
"
"a81712dbff7f5436df7481cb70f921a083c6ee4f","2013-12-24 12:34:05-08:00","Bump version to 1.37 - the version string didn't update properly.
"
