"v1.0","2014/03/03"
"v1.1","2014/06/19"
"v1.2","2014/07/02"
"v1.3","2014/07/08"
"v1.4","2014/07/11"
"v1.5","2014/07/15"
"v1.6","2014/07/23"
"v1.7","2014/08/08"
"v1.8","2014/08/18"
"v1.9.1","2014/09/01"
"v1.9.2","2014/09/09"
"v2.0","2014/09/18"
"v2.2.0","2014/09/29"
"v2.3.2, v2.4.0","2014/10/16"
"v2.4.1","2014/10/21"
"v2.5.0","2014/11/05"
"v2.5.1","2014/11/06"
"v2.6.0","2014/11/12"
"v2.7.0","2014/11/26"
"v2.7.1","2014/12/01"
"v2.8.0","2014/12/06"
"v2.9.0","2014/12/10"
"v3.0.1","2014/12/27"
"v3.2.0, v3.3.1","2015/01/02"
"v3.4.2","2015/01/20"
"v3.5.1","2015/02/05"
"v3.6.1","2015/02/20"
"v3.6.3","2015/03/06"
"v3.7.1","2015/03/09"
"v3.7.2","2015/03/30"
"v3.8.4","2015/04/01"
"v3.8.8","2015/04/07"
"v3.8.9","2015/04/07"
"v3.9.0","2015/04/10"
"v3.9.1","2015/04/17"
"v3.9.2","2015/05/02"
"v3.9.3","2015/05/08"
"v3.9.4","2015/05/15"
"v4.1.0","2015/05/29"
"v4.1.1","2015/06/25"
"v4.1.2","2015/07/04"
"v4.1.3","2015/07/11"
"v4.1.4","2015/07/12"
"v4.1.5","2015/08/01"
"v4.1.6","2015/08/26"
"v4.1.7","2015/09/12"
"v4.1.8","2015/09/24"
"v4.1.9","2015/09/27"
"v4.2.0","2015/10/16"
"v4.2.1","2015/10/18"
"v4.2.2","2015/11/01"
"v4.2.3","2015/11/08"
"v4.2.4","2015/11/14"
"v4.2.5","2015/12/04"
"v4.2.7","2016/01/14"
"v4.2.8","2016/01/27"
"v4.2.9","2016/02/27"
"v4.3.1","2016/02/28"
"v4.3.2","2016/04/16"
"v4.3.3","2016/04/28"
"v4.3.4","2016/04/29"
"v4.3.5","2016/06/21"
"v4.3.6","2016/06/22"
"v4.3.7","2016/06/22"
"v4.3.8, Latest","2016/06/25"
