"1.1","2013/04/22"
"2.1","2014/12/21"
"2.2","2015/03/04"
"2.3","2015/04/27"
"2.5","2015/05/16"
"2.6","2015/05/19"
"2.8","2015/10/04"
"2.91","2016/02/02"
"3.03","2016/02/18"
"3.04","2016/03/09"
"3.06","2016/03/18"
"3.07","2016/03/20"
"3.10","2016/04/11"
"3.11","2016/05/26"
"3.12","2016/05/29"
"3.13","2016/06/20"
"Latest","2016/07/11"
