release-1.0,2010-12-13,
release-1.1,2011-02-08,57
release-1.2,2011-06-30,142
release-1.2.1,2011-09-28,90
release-1.2.2,2012-01-16,110
release-1.2.3,2012-05-18,123
1.3.0,2012-07-09,52
1.3.1,2012-11-07,121
1.3.2,2013-03-09,122
1.3.3,2013-05-18,70
1.3.4,2013-06-07,20
1.3.5,2013-06-30,23
1.3.6,2013-07-26,26
1.3.7,2013-09-01,37
1.3.8,2013-09-09,8
1.3.8.1,2013-09-13,4
1.3.9,2013-12-27,105
1.3.10,2014-04-11,105
1.3.11,2014-11-04,207
1.3.12,2014-11-05,1
1.3.13,2015-04-16,162
Latest,2015-10-08,175
