android-2.0.1_r1,2009-11-12,
android-2.1_r1,2009-12-11,29
"android-2.1_r2, android-2.1_r2.1p, android-2.1_r2.1p2, android-2.1_r2.1s",2010-01-20,40
"android-2.2.1_r1, android-2.2.1_r2, android-2.2.2_r1, android-2.2.3_r1, android-2.2.3_r2, android-2.2.3_r2.1, android-2.2_r1, android-2.2_r1.1, android-2.2_r1.2, android-2.2_r1.3",2010-06-09,140
android-cts-2.2_r8,2010-06-21,12
"android-2.3.1_r1, android-2.3.2_r1, android-2.3_r1",2010-10-26,127
android-2.3.3_r1,2011-02-07,104
android-2.3.3_r1.1,2011-02-14,7
"android-2.3.4_r0.9, android-2.3.4_r1",2011-04-01,46
"android-cts-2.3_r10, android-cts-2.3_r11, android-cts-2.3_r12",2011-04-27,26
"android-2.3.5_r1, android-2.3.6_r0.9, android-2.3.6_r1, android-2.3.7_r1",2011-05-13,16
"android-4.0.1_r1, android-4.0.1_r1.1, android-4.0.1_r1.2",2011-10-27,167
"android-4.0.2_r1, android-cts-4.0_r1, android-sdk-adt_r16.0.1",2011-11-15,19
"android-cts-4.0.3_r1, android-cts-4.0.3_r2, android-cts-verifier-4.0.3_r1, android-cts-verifier-4.0_r1, android-sdk-4.0.3-tools_r1, android-sdk-4.0.3_r1",2011-12-08,23
"android-4.0.3_r1, android-4.0.3_r1.1",2011-12-08,0
"android-4.0.4_r1, android-4.0.4_r1.1, android-4.0.4_r1.2, android-4.0.4_r2, android-4.0.4_r2.1",2012-02-14,68
android-sdk-adt_r20,2012-02-16,2
"android-cts-4.1_r1, android-cts-4.1_r2, android-cts-4.1_r4",2012-06-20,125
"android-4.1.1_r1, android-4.1.1_r1.1, android-4.1.1_r2, android-4.1.1_r3, android-4.1.1_r4, android-4.1.1_r5, android-4.1.1_r6, android-4.1.1_r6.1, android-4.1.2_r1, android-4.1.2_r2, android-4.1.2_r2.1",2012-06-21,1
android-sdk-support_r11,2012-11-07,139
"android-4.2.1_r1, android-4.2.1_r1.1, android-4.2.1_r1.2, android-4.2_r1, android-cts-4.2_r1",2012-11-09,2
2.0.4,2013-01-21,73
2.0.5,2013-01-24,3
2.0.7,2013-01-25,1
2.0.8,2013-02-02,8
2.0.9,2013-02-03,1
2.0.10,2013-02-03,0
2.0.11,2013-02-03,0
android-cts-4.2_r2,2013-02-08,5
"android-4.2.2_r1, android-4.2.2_r1.1, android-4.2.2_r1.2",2013-02-08,0
2.0.12,2013-02-11,3
2.1.00,2013-02-17,6
2.2.01,2013-02-18,1
2.2.03,2013-02-19,1
2.3.00,2013-02-19,0
2.3.01,2013-02-21,2
2.3.02,2013-02-24,3
2.3.04,2013-02-25,1
2.4.0,2013-03-03,6
2.4.02,2013-03-09,6
2.4.04,2013-03-11,2
2.4.05,2013-03-14,3
2.4.06,2013-03-17,3
2.4.07,2013-04-01,15
2.4.08,2013-04-08,7
2.4.09,2013-04-13,5
2.4.10,2013-04-29,16
2.4.11,2013-05-02,3
2.4.12,2013-05-05,3
2.4.13,2013-05-05,0
2.4.14,2013-05-06,1
2.4.15,2013-05-07,1
2.4.16,2013-05-07,0
2.4.17,2013-05-10,3
2.4.18,2013-05-11,1
2.4.19,2013-05-16,5
2.4.20,2013-05-29,13
"android-4.3_r0.9, android-4.3_r0.9.1, android-4.3_r1, android-4.3_r1.1",2013-06-03,5
android-4.3_r2,2013-06-14,11
2.4.21,2013-07-02,18
2.5.00,2013-07-06,4
2.5.01,2013-07-10,4
android-4.3.1_r1,2013-07-14,4
"android-4.3_r2.1, android-4.3_r2.2, android-4.3_r2.3, android-4.3_r3, android-4.3_r3.1",2013-07-14,0
2.5.02,2013-08-11,28
2.5.03,2013-08-14,3
2.5.05,2013-08-14,0
2.5.06,2013-08-15,1
2.5.07,2013-08-15,0
2.5.08,2013-08-19,4
2.5.09,2013-08-22,3
android-4.4_r0.7,2013-09-16,25
android-4.4_r0.8,2013-09-19,3
"android-4.4_r0.9, android-4.4_r1, android-4.4_r1.1, android-4.4_r1.2, android-cts-4.4_r1",2013-10-16,27
2.5.10,2013-10-20,4
"android-4.4.1_r1, android-4.4.2_r1, android-4.4.2_r2, android-sdk-4.4.2_r1",2013-11-11,22
2.5.11,2013-12-03,22
2.5.12,2013-12-03,0
2.5.13,2013-12-09,6
2.5.14,2013-12-27,18
2.6.00,2014-01-18,22
"android-4.4.3_r1, android-4.4.3_r1.1, android-4.4.4_r1, android-4.4.4_r2, android-4.4w_r1",2014-02-19,32
2.7.1,2014-02-24,5
2.7.02,2014-02-24,0
2.7.05,2014-07-08,134
2.7.07,2014-08-03,26
2.8.01,2015-02-22,203
2.8.02,2015-02-23,1
2.8.03,2015-02-27,4
2.9.01,2015-03-16,17
2.9.03,2015-10-11,209
2.9.04,2015-10-20,9
2.9.05,2015-11-01,12
Latest,2015-10-24,-8
