"2.2","2013/01/15"
"2.3","2013/01/15"
"2.4","2013/01/16"
"2.6","2013/01/18"
"2.9","2013/01/21"
"3.3","2013/02/14"
"3.5","2013/02/24"
"3.6","2013/02/25"
"3.7","2013/03/07"
"3.8","2013/04/24"
"3.9","2013/07/06"
"4.0","2013/07/06"
"4.1","2013/07/06"
"4.2","2013/09/15"
"4.3","2013/09/27"
"4.4","2013/10/10"
"4.6","2013/10/26"
"4.8","2013/11/24"
"4.9","2014/01/15"
"5.0","2014/02/22"
"5.1","2014/02/28"
"5.3","2014/05/21"
"5.4","2014/09/04"
"5.5","2014/09/09"
"5.6","2014/09/18"
"5.7","2014/09/21"
"5.8","2014/10/12"
"5.9","2014/10/12"
"6.0","2015/01/03"
"6.1","2015/01/12"
"6.2","2015/05/04"
"6.3","2015/06/14"
"6.4","2015/07/12"
"Latest","2016/07/12"
