"0.0.35","2014/07/02"
"0.0.38","2014/07/07"
"0.0.43","2014/07/23"
"0.0.44","2014/07/25"
"0.0.45","2014/07/26"
"0.0.46","2014/08/06"
"0.0.47","2014/08/08"
"0.0.48","2014/08/08"
"0.0.49","2014/08/09"
"0.0.50","2014/08/15"
"0.0.51","2014/08/19"
"0.0.52","2014/08/20"
"0.0.53","2014/08/22"
"0.0.54","2014/09/02"
"0.0.55","2014/09/04"
"0.0.56","2014/09/05"
"0.0.57","2014/09/08"
"0.0.58","2014/09/09"
"0.0.59","2014/09/12"
"0.0.60","2014/09/12"
"0.0.61","2014/09/16"
"0.0.62","2014/09/27"
"0.0.63","2014/10/11"
"0.0.64","2014/10/22"
"0.0.65","2014/10/22"
"0.0.66","2014/10/23"
"0.0.67","2014/10/23"
"0.0.68","2014/10/28"
"0.0.69","2015/02/21"
"0.0.70","2015/02/22"
"0.0.71","2015/02/28"
"0.0.72","2015/04/11"
"v0.0.74","2016/03/25"
"v0.0.75","2016/04/01"
"v0.0.76","2016/04/01"
"v0.0.77","2016/04/17"
"Latest","2016/05/13"
