1,2013-07-10,
1.1,2013-07-15,5
1.2,2013-07-16,1
1.3,2013-07-17,1
1.4,2013-07-20,3
1.5,2013-07-29,9
1.6,2013-08-02,4
1.7,2013-08-02,0
3,2013-08-26,24
3.2,2013-10-15,50
3.4,2013-11-16,32
4,2013-12-28,42
4.2,2014-06-01,155
Latest,2016-01-26,604
