"release-1.3.5","2011/10/16"
"release-2.0.0","2015/10/10"
"release-2.0.1","2015/10/10"
"release-2.0.2","2015/10/11"
"release-2.1.0","2015/10/17"
"release-2.2.0","2015/10/18"
"release-2.2.1","2015/10/18"
"release-2.2.2","2015/10/19"
"release-2.3.0","2015/10/27"
"release-2.3.1","2015/10/27"
"release-2.3.2","2015/10/27"
"release-2.3.3","2015/10/31"
"release-3.0.0","2015/11/09"
"release-3.0.1","2015/11/11"
"release-3.1.0","2015/11/22"
"release-3.2.0","2015/12/21"
"release-3.3.0","2016/01/09"
"release-3.4.0","2016/04/17"
"Latest","2016/06/20"
