"0.9.4","2013/03/15"
"0.9.6","2013/03/19"
"0.9.7","2013/03/25"
"0.9.8","2013/04/02"
"0.9.10","2013/04/06"
"0.9.11","2013/04/11"
"0.9.13","2013/05/24"
"0.9.14","2013/05/31"
"0.9.15","2013/06/03"
"0.9.16","2013/06/11"
"0.9.17","2013/06/12"
"0.9.18","2013/07/01"
"0.9.19","2013/07/03"
"0.9.20","2013/07/10"
"0.9.21","2013/07/12"
"0.9.22","2013/07/13"
"0.9.23","2013/07/18"
"0.9.24","2013/07/21"
"0.9.25","2013/07/27"
"0.9.26","2013/09/16"
"0.9.27","2013/09/22"
"0.9.28","2013/09/25"
"0.9.29","2013/10/13"
"0.9.30","2013/10/16"
"0.9.31","2013/11/09"
"0.9.32","2013/11/12"
"0.9.33","2013/11/19"
"0.9.34","2013/11/20"
"0.9.35","2013/11/23"
"0.9.36","2013/11/30"
"0.9.37","2013/12/01"
"0.9.38","2013/12/08"
"0.9.39","2013/12/08"
"0.9.40","2013/12/15"
"0.9.41","2013/12/15"
"0.9.42","2013/12/22"
"0.9.43","2014/01/07"
"0.9.44","2014/01/25"
"0.9.45","2014/01/31"
"0.9.46","2014/02/05"
"0.9.47","2014/02/09"
"0.9.48","2014/02/12"
"0.9.49","2014/02/14"
"0.9.50","2014/02/19"
"0.9.51","2014/02/20"
"0.9.52","2014/02/24"
"0.9.53","2014/03/08"
"0.9.54","2014/03/17"
"0.9.55","2014/03/23"
"0.9.56","2014/04/09"
"0.9.57","2014/04/12"
"0.9.58","2014/04/14"
"0.9.59","2014/04/26"
"0.9.61","2014/06/15"
"0.9.62","2014/06/15"
"0.9.63","2014/06/21"
"0.9.90","2014/11/13"
"0.9.91","2014/11/14"
"0.9.92","2014/11/14"
"0.9.93","2014/11/16"
"0.9.94","2014/11/21"
"0.9.95","2014/11/23"
"0.9.96","2014/12/06"
"0.9.97","2015/01/03"
"0.9.98","2015/01/31"
"0.9.99","2015/03/28"
"1.0-rc1","2015/07/15"
"1.0.0, 1.0.1","2015/09/25"
"1.0.2","2015/12/26"
"Latest","2016/05/21"
