"commit id","commit date","commit message"
"d58cf97eac294864fd887a159812e1392d60a650","2013-07-02 19:55:42-04:00","Add the game's description to the README file
"
"9b31add7e8aef47e6df50745560a25ad27a4861e","2013-12-24 13:57:53-05:00","Post a link to the binary downloads page
"
