"1.0","2011/10/03"
"1.0.1","2011/10/04"
"1.0.2","2011/10/07"
"1.0.3","2012/01/05"
"1.0.4","2012/03/14"
"1.0.5","2012/03/22"
"1.0.6","2012/03/22"
"1.0.7","2012/09/18"
"1.0.8","2013/04/01"
"1.0.9","2013/04/01"
"1.0.10","2013/04/07"
"1.0.11","2013/09/09"
"1.0.12","2013/09/10"
"1.0.13","2014/03/05"
"1.0.14","2014/07/16"
"1.0.15","2014/08/03"
"1.0.16","2014/08/17"
"1.0.17","2014/09/24"
"1.0.18","2014/09/25"
"1.0.19","2014/10/01"
"1.0.20","2014/10/25"
"1.0.21","2015/01/14"
"1.0.22","2015/01/25"
"1.0.23","2015/01/25"
"1.0.24","2015/03/26"
"Latest","2015/03/26"
