0.0613	-0.2231
0.0043	-0.0299
0.0078	-0.0225
0.2043	-0.4336
0.3431	-0.5099
0.4625	-0.8153
0.3696	-0.5558
0.1739	-0.3562
0.0023	-0.0159
0.0082	-0.0419
0.0092	-0.0340
0.0233	-0.3124
0.0938	-1.1814
0.0003	-0.0032
0.0117	-0.2406
0.0138	-0.2324
0.0821	-1.1096
0.0305	-0.3580
0.1194	-0.4447
0.9404	0.1371
1.2119	0.4468
1.0096	-0.0753
0.8670	0.2015
0.1594	-0.3637
1.2119	0.4468
1.3403	0.4662
0.0141	-0.1884
0.7400	0.2518
0.0247	-0.0850
0.0686	-0.0898
0.0380	-0.5861
0.8350	0.2529
0.8742	0.2846
0.9347	0.2424
0.0286	-0.0887
0.6384	-0.9524
0.1521	-0.4785
0.0147	-0.2737
0.1027	-0.8542
0.9948	-0.4214
0.5084	-1.0039
0.1572	-0.3183
1.3106	0.4847
0.5379	-0.9185
0.5565	-1.1036
0.0636	-0.1412
0.0482	-0.0203
0.0510	-0.0433
0.3600	-0.5298
0.0285	-0.0957
0.1020	-0.4028
0.0262	-0.0751
0.0521	-0.7745
0.1811	-0.0948
0.1948	-0.3768
0.2764	-0.3814
0.0138	-0.0836
0.0758	-0.1086
0.0175	-0.0867
0.4561	-0.7693
0.0162	-0.1265
0.0172	-0.2140
0.0786	-0.1105
0.1334	-0.1664
0.0768	-0.1939
0.0050	-0.0197
0.0818	-0.9758
0.0072	-0.0362
0.0247	-0.2469
0.4595	-0.6856
0.0043	-0.0101
0.2335	-0.6765
1.0118	-0.1259
0.2345	-0.4546
0.1903	-0.4587
0.0267	-0.1075
0.0573	-0.2636
0.1884	-0.3667
0.4496	-0.3401
0.0069	-0.0321
0.0475	-0.2818
0.0882	-0.2572
0.1806	-0.2755
0.0220	-0.0554
0.0306	-0.0992
0.0108	-0.0428
0.0114	-0.0426
