v0.1.0.0,2011-07-16,
v0.2.0.0,2011-07-18,2
v0.3.0.0,2011-07-19,1
v0.3.1.0,2011-07-19,0
v.0.4.0.0,2011-07-22,3
v0.5.0.0,2011-07-24,2
v0.5.1.0,2011-07-25,1
v0.6.0.0,2011-07-31,6
v0.6.1.0,2011-08-01,1
v0.7.0.0,2011-08-07,6
v0.8.0.0,2011-08-16,9
v0.8.1.0,2011-08-17,1
v0.8.4.0,2011-08-27,10
v0.9.0.0,2011-08-27,0
v1.0.0.0,2011-08-31,4
v1.1.0.0,2011-09-20,20
v1.1.1.0,2011-09-23,3
v1.2.0.0,2011-10-30,37
v1.2.1.0,2011-10-30,0
v1.3.0.0,2011-11-05,6
v1.3.1.0,2011-11-10,5
v1.3.2.0,2011-11-12,2
v1.3.3.0,2011-11-15,3
v1.3.4.0,2011-11-17,2
v1.4.0.0,2011-11-18,1
v1.4.2.0,2011-11-20,2
v1.5.0.0RC1,2011-12-27,37
v1.5.0.0RC2,2011-12-27,0
v1.5.0.0RC3,2011-12-28,1
v1.5.0.0,2011-12-29,1
v1.5.1.0,2012-01-14,16
v1.6.0.0RC1,2012-02-05,22
v1.6.0.0RC2,2012-02-06,1
v1.6.0.0,2012-02-08,2
v1.6.1.0,2012-02-10,2
v1.7.0.0RC1,2012-03-10,29
v1.7.0.0,2012-03-13,3
v1.7.1.0,2012-03-15,2
v1.8.0.0RC1,2012-04-10,26
v1.8.0.0RC2,2012-04-11,1
v1.8.0.0RC3,2012-04-14,3
v1.8.0.0RC4,2012-04-16,2
v1.8.0.0RC5,2012-04-22,6
v1.8.0.0RC6,2012-04-23,1
v1.8.0.0RC7,2012-04-24,1
v1.8.0.0RC8,2012-04-28,4
v1.8.0.0,2012-04-29,1
v1.8.1.0,2012-05-02,3
v1.9.0.0RC1,2012-07-05,64
v1.9.0.1RC1,2012-07-06,1
v1.9.0.0RC2,2012-07-06,0
v1.9.0.0RC3,2012-07-09,3
v1.9.0.0RC4,2012-07-11,2
v1.9.0.0RC5,2012-07-12,1
v1.9.0.0RC6,2012-07-14,2
v1.9.0.0RC8,2012-07-16,2
v1.9.0.0RC9,2012-07-19,3
v1.9.0.0,2012-07-21,2
v1.9.1.0,2012-07-30,9
v1.9.2.0,2012-08-03,4
v1.9.2.1,2012-08-04,1
v1.10.0.0b1,2012-08-18,14
v1.10.0.0b2,2012-08-18,0
v1.10.0.0b3,2012-08-19,1
v1.10.0.0b4,2012-08-19,0
v1.10.0.0b5,2012-08-20,1
v1.10.0.0b6,2012-08-20,0
v1.10.0.0b7,2012-08-21,1
v1.10.0.0RC1,2012-08-22,1
v1.10.0.0RC2,2012-08-22,0
v1.10.0.0RC3,2012-08-23,1
v1.10.0.0,2012-08-25,2
v1.10.2.0,2012-09-01,7
v1.10.3.0,2012-09-01,0
v1.10.4.0,2012-09-02,1
v1.10.5.0RC1,2012-09-06,4
v1.10.5,2012-09-08,2
v1.11.0.0RC1,2012-09-15,7
v1.11.0.0RC2,2012-09-17,2
v1.11.0.0RC3,2012-09-19,2
v1.11.0.0RC4,2012-09-20,1
v1.11.0.0RC5,2012-09-22,2
v1.11.0.0RC6,2012-09-23,1
v1.11.0.0RC7,2012-09-24,1
1.11.0.0RC8,2012-09-29,5
v1.11.0.0,2012-09-29,0
v1.12.0.0B1,2012-11-25,57
v1.12.0.0B2,2012-11-29,4
v1.12.0.0B3,2012-12-06,7
v1.12.0.0B4,2012-12-13,7
v1.2.0.0B5,2012-12-14,1
1.12.0.0B5,2012-12-14,0
1.12.0.0B6,2012-12-16,2
v1.12.0.0B7,2012-12-17,1
v1.12.0.B8,2012-12-21,4
v1.12.0.0B9,2012-12-23,2
v1.12.0.0RC1,2012-12-26,3
v1.12.0.0RC2,2012-12-27,1
v1.12.0.0RC3,2012-12-29,2
1.12.0.0RC4,2012-12-31,2
v1.12.0.0RC5,2012-12-31,0
v1.12.0.0RC6,2013-01-05,5
v1.12.0.0RC7,2013-01-23,18
v1.12.0.0RC8,2013-02-16,24
v1.12.0.0RC9,2013-02-17,1
v1.12.0.0RC10,2013-02-18,1
v1.12.0.0RC11,2013-02-19,1
v1.12.0.0RC12,2013-03-09,18
v1.12.0.0,2013-03-11,2
v1.12.0.1,2013-03-11,0
v1.12.0.2,2013-03-12,1
v1.12.2.0,2013-03-15,3
v1.12.3.0,2013-03-16,1
v1.12.4.0,2013-03-17,1
v1.13.0.0B1,2013-03-19,2
v1.13.0.0B2,2013-03-24,5
v1.13.0.0B3,2013-03-24,0
v1.13.0.0B4,2013-03-29,5
1.13.0.0B5,2013-03-30,1
v1.13.0.0RC1,2013-04-01,2
1.13.0.0RC2,2013-04-05,4
v1.13.0.0,2013-04-14,9
v1.13.2.0,2013-04-15,1
v1.14.0.B1,2013-06-02,48
v1.14.0.0B2,2013-06-16,14
v1.14.0.0RC1,2013-08-11,56
v1.14.0.0,2013-09-09,29
v1.15.0.0_B1,2013-11-05,57
v1.15.0.0_B2,2013-11-07,2
v1.15.0.0_B4,2013-11-10,3
v1.15.0.0_B5,2013-11-11,1
v1.15.0.0B6,2013-11-16,5
v1.15.0.0_RC1,2013-11-16,0
v1.15.0.0_RC2,2013-11-17,1
v1.15.0.0_RC3,2013-11-19,2
v1.15.0.0_RC5,2013-11-21,2
v1.15.0.0_RC6,2013-11-22,1
1.15.0.0_RC7,2013-11-23,1
v1.15.0.0_RC8,2013-11-23,0
Latest,2016-04-02,861
